Variable Type Printer | Create a program that first defines a variable, s = "Hello World". Then it prints the variable, along with its type.
Personalized Greeting | Create a program that asks the user for their name and then prints a greeting using their name (i.e., "Hello" + name). | Test Case 1: Input: John --> Output: Hello John, Test Case 2: Input: Alice --> Output: Hello Alice, Test Case 3: Input: Bob --> Output: Hello Bob, Test Case 4: Input: Sarah --> Output: Hello Sarah
Full Name Printer | Write a program that asks the user for their first name and last name, and then prints their full name using string concatenation. | Test Case 1: Input: First Name = John, Last Name = Doe --> Output: Full Name = John Doe, Test Case 2: Input: First Name = Alice, Last Name = Smith --> Output: Full Name = Alice Smith, Test Case 3: Input: First Name = Bob, Last Name = Johnson --> Output: Full Name = Bob Johnson
Greeting with Age | Write a program that asks the user for their name and age and then prints a message like "Hello, [Name]! You are [Age] years old." | Test Case 1: Input: Name = Emily, Age = 25 --> Output: Hello, Emily! You are 25 years old., Test Case 2: Input: Name = David, Age = 42 --> Output: Hello, David! You are 42 years old., Test Case 3: Input: Name = Sarah, Age = 18 --> Output: Hello, Sarah! You are 18 years old.
Sum Calculator | Write a program that calculates the sum of two numbers entered by the user. | Test Case 1: Input: Number 1 = 5, Number 2 = 7 --> Output: Sum = 12, Test Case 2: Input: Number 1 = -3, Number 2 = 10 --> Output: Sum = 7, Test Case 3: Input: Number 1 = 0, Number 2 = 0 --> Output: Sum = 0
Square Printer | Write a program that prints the square of a number, entered by the user. | Test Case 1: Input: Number = 4 --> Output: Square = 16, Test Case 2: Input: Number = 8 --> Output: Square = 64, Test Case 3: Input: Number = -3 --> Output: Square = 9
Age Classifier | Create a program that asks the user for their age and then determines if they are a minor (under 18) or an adult. | Test Case 1: Input: Age = 15 --> Output: Minor, Test Case 2: Input: Age = 22 --> Output: Adult, Test Case 3: Input: Age = 17 --> Output: Minor
Data Type Identifier | Write a program that determines the data type of a given variable (e.g., integer, float, string, list). If integer, return "integer". If string, return "string". If list, return "list". If float, return "float". | Test Case 1: Input: Variable = 42 --> Output: Data Type = integer, Test Case 2: Input: Variable = "Hello, World!" --> Output: Data Type = string, Test Case 3: Input: Variable = [1, 2, 3] --> Output: Data Type = list, Test Case 4: Input: Variable = 3.14 --> Output: Data Type = float
Temperature Converter | Create a program that converts temperatures between Celsius (C) and Fahrenheit (F). Round the temperature value to 1 digit. Return the converted temperature. | Test Case 1: Input: Temperature = 25 C --> Output: Converted Temperature = 77.0 F, Test Case 2: Input: Temperature = 68.4 F --> Output: Converted Temperature = 20.2 C
String Slicer | Given a string, write a program that prints the first three characters, the last three characters, and a substring containing characters from the 4th to the 6th position. | Test Case 1: Input: String = "Hello, World!" --> Output: First 3 characters = Hel, Last 3 characters = ld!, Substring = lo, Test Case 2: Input: String = "Python Programming" --> Output: First 3 characters = Pyt, Last 3 characters = ing, Substring = on
First 10 Positive Numbers | Write a program that prints the first 10 positive numbers using a for loop. | Test Case 1: Input: N/A (no user input) --> Output: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Multiplication Table Generator | Write a Python program that generates a multiplication table from 1-12 for a given number (e.g., 7). | Test Case 1: Input: Number = 7 --> Output: 7 x 1 = 7, 7 x 2 = 14, ... , 7 x 12 = 84
Word Length Counter | Write a program that asks the user to enter a word and then uses a for loop to count and print the number of characters in the word. | Test Case 1: Input: Word = "Hello" --> Output: Number of characters: 5, Test Case 2: Input: Word = "Python" --> Output: Number of characters: 6
